case_id,issue_type,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,expected_confidence,evidence_summary,next_command,fix_steps,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,human_decision,human_correction,verification
C01,VLAN,PC in VLAN 30 gets an IP but cannot reach another host in VLAN 30.,PC-A on SW1 Fa0/1; both hosts should be VLAN 30.,show vlan brief: VLAN 30 missing; show interfaces Fa0/1 switchport: access VLAN 30.,Missing VLAN 30 on switch.,Layer 2,VLAN,Medium,High,show vlan brief shows VLAN 30 is absent.,show vlan brief,Create VLAN 30 and verify access-port assignment.,,,,,,,,
C02,VLAN,PC cannot communicate with a PC on the same subnet; port is up.,PC connected to SW1 Fa0/5; intended VLAN is 20.,show interfaces Fa0/5 switchport: Access Mode VLAN 1.,Access port assigned to wrong VLAN.,Layer 2,VLAN,Medium,High,Fa0/5 is in VLAN 1 instead of VLAN 20.,show interfaces Fa0/5 switchport,Configure Fa0/5 as an access port in VLAN 20.,,,,,,,,
C03,VLAN,Multiple PCs in a remote VLAN lose connectivity after a switch link change.,"SW1-SW2 is intended to carry VLANs 10,20,30.","show interfaces trunk: allowed VLANs 10,20; VLAN 30 absent.",VLAN 30 missing from trunk allowed list.,Layer 2,Trunking,High,High,Trunk output excludes VLAN 30.,show interfaces trunk,Allow VLAN 30 on the trunk and verify propagation.,,,,,,,,
C04,VLAN,Inter-switch communication fails for one VLAN only.,SW1 G0/1 connects to SW2 G0/1.,show interfaces trunk: G0/1 trunking; native VLAN mismatch warning.,Native VLAN mismatch on trunk.,Layer 2,Trunking,High,Medium,Trunk status reports native VLAN mismatch.,show interfaces trunk,Match native VLAN configuration on both trunk ends.,,,,,,,,
C05,Inter-VLAN Routing,VLAN 20 hosts can communicate locally but cannot reach VLAN 30.,Router-on-a-stick topology; R1 G0/0 connects to SW1 trunk.,show ip interface brief: G0/0.30 unconfigured.,Missing router subinterface for VLAN 30.,Layer 3,Inter-VLAN Routing,High,High,No G0/0.30 subinterface exists.,show ip interface brief,Create G0/0.30 with encapsulation dot1Q 30 and an IP gateway.,,,,,,,,
C06,Inter-VLAN Routing,VLAN 20 host has correct IP but cannot ping its default gateway.,Gateway should be 192.168.20.1.,show ip interface brief: G0/0.20 192.168.30.1 up/up.,Gateway subinterface has wrong IP network.,Layer 3,Inter-VLAN Routing,High,High,Subinterface G0/0.20 uses 192.168.30.1 instead of 192.168.20.1.,show ip interface brief,Assign the correct VLAN 20 gateway address.,,,,,,,,
C07,Inter-VLAN Routing,Hosts in VLAN 10 can reach gateway but not VLAN 20.,R1 routes VLANs using subinterfaces.,show run interface G0/0.20: encapsulation dot1Q 10.,VLAN 20 subinterface uses wrong VLAN tag.,Layer 3,Inter-VLAN Routing,High,High,G0/0.20 is tagged for VLAN 10.,show run interface G0/0.20,Change encapsulation to dot1Q 20 and verify.,,,,,,,,
C08,Routing,PC can reach its gateway but not a remote server network.,R1 should reach 10.10.40.0/24 through 10.10.30.2.,show ip route: no 10.10.40.0/24 entry.,Missing route to remote network.,Layer 3,Routing,High,High,Routing table has no route for 10.10.40.0/24.,show ip route,Add the correct static route or restore the routing protocol.,,,,,,,,
C09,Routing,Remote network is reachable from router but not from PC.,PC subnet is 192.168.10.0/24; R1 has route to 10.10.40.0/24.,show ip route: route present; PC default gateway is 192.168.10.254; R1 LAN IP is 192.168.10.1.,Incorrect PC default gateway.,Layer 3,Default Gateway,High,High,PC gateway does not match the router LAN address.,ipconfig /all,Set PC default gateway to 192.168.10.1.,,,,,,,,
C10,Routing,Router has a route but traffic still fails to return to source network.,Two-router topology with remote LANs.,show ip route 192.168.10.0: network not found on R2.,Missing return route.,Layer 3,Routing,High,High,R2 lacks a route back to 192.168.10.0/24.,show ip route,Add a return route or correct dynamic routing.,,,,,,,,
